recording	participant	candidate	residual_stage	spatial_rank	residual_protocol	channel_name	band	band_low_hz	band_high_hz	kind	position	authorized_line_hz	neighbouring_line_hz	centre_frequency_hz	injection_start_frequency_hz	injection_drift_hz	injection_occupancy	injection_phase_rad	phase_modulation_hz	phase_deviation_rad	injection_amplitude_v	requested_component_to_background_db	background_recovery_runtime_s	background_residual_runtime_s	injected_recovery_runtime_s	injected_residual_runtime_s	background_residual_round_count	injected_residual_round_count	filter_geometry_changed	injected_frequency_fir_unavailable	background_band_retained_share	injected_band_retained_share	background_terminal_residual_detector_null	background_targeted_local_background_excess_null	stage	injected_energy_v2	difference_energy_v2	measured_component_to_background_db	remaining_fraction	collateral_fraction	amplitude_ratio	component_error_fraction	component_correlation	subspace_phase_error_degrees	band_power_ratio	band_power_change_db	band_phase_error_degrees	terminal_residual_detector_null	targeted_local_background_excess_null	artifact_gate_passed	preservation_gate_passed	offset_hz	tooth_hz
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.15	54.15	0.0	1.0	0.4487989505128276	0.0	0.0	1.112801191675145e-07	-10.0	7.233839749998879	12.458333167014644	7.477281792002032	5.43137375000515	2	2	False	False	1.0	1.0	True	False	recovery	3.1029791346119505e-09	3.3701818036390456e-09	-10.0	1.0786888454550594	0.007422809646565402	1.0385994634386537	0.0014902243303057112	0.9999998528053574	0.031087471297317027	1.1132238187131378	0.46582489994934273	3.978481788798977					0.15	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.15	54.15	0.0	1.0	0.4487989505128276	0.0	0.0	1.112801191675145e-07	-10.0	7.233839749998879	12.458333167014644	7.477281792002032	5.43137375000515	2	2	False	False	1.0	1.0	True	False	final	3.1029791346119505e-09	3.370533053305122e-09	-10.0	1.078794013676985	0.007430838984517822	1.0386500920314718	0.0014941465263618465	0.9999998474402865	0.031648951567083666	1.1133582905111676	0.4663494740010701	3.978614881008524	False	False	False		0.15	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.2	54.2	0.0	1.0	0.4487989505128276	0.0	0.0	9.348609314214543e-08	-10.0	7.233839749998879	12.458333167014644	7.018729290983174	5.538277959014522	2	2	False	False	1.0	1.0	True	False	recovery	2.1899636603731643e-09	2.190936390839349e-09	-10.0	0.9994564138861552	0.0009877626468855012	0.9997281699973024	1.0741097413535107e-07	0.9999999832357311	0.010491338389744689	1.0045598883593543	0.01975832979433661	0.46288007411713383					0.2	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.2	54.2	0.0	1.0	0.4487989505128276	0.0	0.0	9.348609314214543e-08	-10.0	7.233839749998879	12.458333167014644	7.018729290983174	5.538277959014522	2	2	False	False	1.0	1.0	True	False	final	2.1899636603731643e-09	2.1905215498119414e-09	-10.0	0.9992654505034453	0.000989297759609135	0.99963265778157	1.695490161221875e-07	0.999999982689286	0.010660954260250302	1.004372658472082	0.018948816231988377	0.46291974432777844	False	False	False		0.2	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.3	54.3	0.0	1.0	0.4487989505128276	0.0	0.0	8.72741738543238e-08	-10.0	7.233839749998879	12.458333167014644	7.810635125002591	5.597836625005584	2	2	False	False	1.0	1.0	True	False	recovery	1.9086001322549913e-09	1.920355285588588e-09	-10.0	0.9997345841108429	0.006424460486894817	0.9998672832485535	1.843923165046485e-08	0.9999999995871972	0.0016463051718043362	0.9995449038531078	-0.001976907328889202	0.16304099883356135					0.3	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.3	54.3	0.0	1.0	0.4487989505128276	0.0	0.0	8.72741738543238e-08	-10.0	7.233839749998879	12.458333167014644	7.810635125002591	5.597836625005584	2	2	False	False	1.0	1.0	True	False	final	1.9086001322549913e-09	1.920691314760934e-09	-10.0	0.9999003848968927	0.006434720242070179	0.9999501912079884	3.252312313293356e-09	0.9999999996142827	0.0015913797215082956	0.9997359060181047	-0.0011470970677939876	0.16304888088333466	False	False	False		0.3	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.45	54.45	0.0	1.0	0.4487989505128276	0.0	0.0	3.846274753504428e-08	-10.0	7.233839749998879	12.458333167014644	6.962421958014602	5.253815249976469	2	2	False	False	1.0	1.0	True	False	recovery	3.707010188645606e-10	3.7082371834739844e-10	-9.999999999999998	1.0000309507226504	0.0003000423866418435	1.0000154752415835	1.43576209653406e-09	0.9999999994018697	0.0019816947078482197	1.000516055987085	0.0022406245812891536	0.544433673236699					0.45	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.45	54.45	0.0	1.0	0.4487989505128276	0.0	0.0	3.846274753504428e-08	-10.0	7.233839749998879	12.458333167014644	6.962421958014602	5.253815249976469	2	2	False	False	1.0	1.0	True	False	final	3.707010188645606e-10	3.7088976629840445e-10	-9.999999999999998	1.0002077479265017	0.00030141558862817894	1.000103868568911	1.1456228149023092e-08	0.9999999996662604	0.0014802761553690976	1.0007182681086286	0.0031182790148741365	0.5443799003241717	False	False	False		0.45	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.6	54.6	0.0	1.0	0.4487989505128276	0.0	0.0	1.1889397239327503e-07	-10.0	7.233839749998879	12.458333167014644	7.674335459014401	5.409963040990988	2	2	False	False	1.0	1.0	True	False	recovery	3.542113945524357e-09	3.5431148632132248e-09	-10.0	0.9999507852445444	0.0003317911218946124	0.9999753923195033	1.04505483520859e-09	0.999999999780236	0.0012012037622612355	1.0002729275028013	0.001185147361963063	0.04036243156503359					0.6	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	stationary	near	54.0	55.2	54.6	54.6	0.0	1.0	0.4487989505128276	0.0	0.0	1.1889397239327503e-07	-10.0	7.233839749998879	12.458333167014644	7.674335459014401	5.409963040990988	2	2	False	False	1.0	1.0	True	False	final	3.542113945524357e-09	3.5435815148031646e-09	-10.0	1.0000712685045465	0.000343051673021758	1.000035633617396	1.2940547643683156e-09	0.9999999999878503	0.0002824357241320162	1.0004195555276936	0.0018217243747446657	0.040387208489668945	False	False	False		0.6	54.0
