recording	participant	comb_db_before	comb_db_after	teeth_tested	teeth_proud_2db_before	teeth_proud_2db_after	teeth_above_null_p99_after	null_p99_db	null_bins	correlation	change_rms
sub-0012_task-thermalactive_run-1_eeg	sub-0012	2.18	-0.04	63	33	2	0	16.05	150	0.99864	0.04615
sub-0012_task-thermalactive_run-2_eeg	sub-0012	2.45	0.02	63	35	1	0	15.35	150	0.99912	0.04042
sub-0012_task-thermalactive_run-3_eeg	sub-0012	3.72	-0.22	63	41	1	0	2.86	150	0.9948	0.07934
sub-0012_task-thermalactive_run-4_eeg	sub-0012	3.89	-0.04	63	42	0	0	3.32	150	0.99379	0.07977
sub-0012_task-thermalactive_run-5_eeg	sub-0012	3.2	-0.29	63	41	1	0	2.73	150	0.99229	0.08774
sub-0012_task-thermalactive_run-6_eeg	sub-0012	4.03	-0.56	63	41	2	1	3.97	150	0.99384	0.07512
sub-0013_task-thermalactive_run-1_eeg	sub-0013	0.98	0.32	63	12	4	0	11.78	150	0.99805	0.04898
sub-0013_task-thermalactive_run-2_eeg	sub-0013	1.03	0.14	63	14	1	1	2.12	150	0.99944	0.02717
sub-0013_task-thermalactive_run-3_eeg	sub-0013	1.06	0.17	63	17	0	0	2.73	150	0.99911	0.035
sub-0013_task-thermalactive_run-4_eeg	sub-0013	1.09	-0.0	63	20	1	0	2.98	150	0.99896	0.03671
sub-0013_task-thermalactive_run-5_eeg	sub-0013	1.32	0.25	63	18	1	0	2.93	150	0.99834	0.04161
sub-0013_task-thermalactive_run-6_eeg	sub-0013	0.79	0.29	63	20	1	0	9.19	150	0.99836	0.0435
sub-0014_task-thermalactive_run-1_eeg	sub-0014	2.23	0.11	63	32	0	0	1.89	150	0.99862	0.04078
sub-0014_task-thermalactive_run-3_eeg	sub-0014	1.56	0.24	63	25	1	1	2.41	150	0.99859	0.03822
sub-0014_task-thermalactive_run-2_eeg	sub-0014	2.05	0.3	63	31	0	0	1.88	150	0.99805	0.04482
sub-0014_task-thermalactive_run-4_eeg	sub-0014	1.77	0.08	63	30	0	1	1.75	150	0.99884	0.03663
sub-0014_task-thermalactive_run-6_eeg	sub-0014	1.49	0.44	63	26	2	2	2.07	150	0.99808	0.03932
sub-0014_task-thermalactive_run-5_eeg	sub-0014	1.43	0.19	63	26	4	1	16.19	150	0.99846	0.03807
sub-0015_task-thermalactive_run-2_eeg	sub-0015	2.94	0.18	63	36	2	0	3.62	150	0.99352	0.05989
sub-0015_task-thermalactive_run-1_eeg	sub-0015	2.23	-0.1	63	32	4	0	5.13	150	0.99938	0.03253
sub-0015_task-thermalactive_run-3_eeg	sub-0015	3.04	-0.0	63	35	3	1	2.84	150	0.99357	0.05146
sub-0015_task-thermalactive_run-5_eeg	sub-0015	3.12	-0.04	63	37	6	0	3.79	150	0.99497	0.0409
sub-0015_task-thermalactive_run-4_eeg	sub-0015	3.06	-0.23	63	38	3	1	2.87	150	0.99656	0.04294
sub-0015_task-thermalactive_run-6_eeg	sub-0015	2.69	0.29	63	35	2	0	3.33	150	0.9937	0.03857
