recording	participant	arm	stopbands	of_lines	peaks_above_2dB	worst_prom_db	worst_level_db	median_suppression_db	comb_db	correlation	change_rms	fir_rounds	delta_kept	theta_kept	alpha_kept	beta_kept	gamma_kept
sub-0001_task-thermalactive_run-5_eeg	sub-0001	combined	7	151	5	3.1800000000000002	2.1899999999999999	-7.6100000000000003	-0.40999999999999998	0.99553999999999998	0.094359999999999999	3	1	1	1	0.98170000000000002	0.90769999999999995
sub-0003_task-thermalactive_run-1_eeg	sub-0003	combined	4	133	15	9.2599999999999998	-4.7599999999999998	-10.94	-6.54	0.97307999999999995	0.22993	2	0.67820000000000003	0.76070000000000004	0.746	0.73460000000000003	0.69140000000000001
sub-0003_task-thermalactive_run-2_eeg	sub-0003	combined	0	139	0	1.8100000000000001	-2.5299999999999998	-6.6200000000000001	-0.089999999999999997	0.99821000000000004	0.056169999999999998	1	1	1	1	1	0.98750000000000004
sub-0003_task-thermalactive_run-3_eeg	sub-0003	combined	1	140	10	25.420000000000002	-2.1000000000000001	-6.8399999999999999	-0.12	0.99822999999999995	0.05466	2	1	1	1	0.96340000000000003	0.91320000000000001
sub-0003_task-thermalactive_run-4_eeg	sub-0003	combined	2	142	0	1.79	-3.0099999999999998	-7.6299999999999999	-0.10000000000000001	0.99822	0.055919999999999997	1	1	1	1	0.98170000000000002	0.97729999999999995
sub-0003_task-thermalactive_run-6_eeg	sub-0003	combined	5	144	1	2.04	-3.46	-7.7800000000000002	-0.070000000000000007	0.99775000000000003	0.05049	1	1	1	1	1	0.91149999999999998
sub-0003_task-thermalactive_run-5_eeg	sub-0003	combined	3	162	2	4.25	-3.0299999999999998	-8.1899999999999995	-0.19	0.99746000000000001	0.05985	2	1	1	1	0.9516	0.96150000000000002
sub-0004_task-thermalactive_run-1_eeg	sub-0004	combined	4	134	1	2.54	-2.0899999999999999	-6.3600000000000003	-0.13	0.99873999999999996	0.049880000000000001	2	1	1	1	1	0.94699999999999995
sub-0004_task-thermalactive_run-3_eeg	sub-0004	combined	5	109	1	2.2799999999999998	-0.69999999999999996	-5.3700000000000001	0.19	0.99846000000000001	0.046019999999999998	2	1	1	1	1	0.94540000000000002
sub-0004_task-thermalactive_run-2_eeg	sub-0004	combined	4	135	1	2.0099999999999998	-2.1899999999999999	-5.7199999999999998	0.01	0.99841999999999997	0.05101	2	1	1	1	0.9758	0.95499999999999996
sub-0004_task-thermalactive_run-5_eeg	sub-0004	combined	2	125	0	1.8500000000000001	-0.56000000000000005	-5.2699999999999996	0.029999999999999999	0.99983999999999995	0.016830000000000001	1	1	1	1	0.98170000000000002	0.95799999999999996
sub-0004_task-thermalactive_run-4_eeg	sub-0004	combined	7	127	4	3.3500000000000001	-1.6499999999999999	-6.6699999999999999	-0.029999999999999999	0.99851000000000001	0.040689999999999997	2	1	1	1	0.95820000000000005	0.92569999999999997
sub-0004_task-thermalactive_run-6_eeg	sub-0004	combined	8	104	6	2.8700000000000001	-2.8199999999999998	-5.46	0.17999999999999999	0.99861999999999995	0.031919999999999997	3	1	1	1	1	0.94079999999999997
sub-0005_task-thermalactive_run-1_eeg	sub-0005	combined	2	75	0	1.6200000000000001	-1.5800000000000001	-2.8100000000000001	0.25	0.99633000000000005	0.083239999999999995	1	1	1	1	0.96340000000000003	0.92720000000000002
sub-0005_task-thermalactive_run-2_eeg	sub-0005	combined	4	126	1	2.0899999999999999	-0.66000000000000003	-4.9500000000000002	-0.02	0.99673	0.072090000000000001	1	1	1	1	1	0.89890000000000003
sub-0005_task-thermalactive_run-3_eeg	sub-0005	combined	1	105	7	19.77	-2.3900000000000001	-4.7199999999999998	-0	0.99680000000000002	0.064530000000000004	2	1	1	1	1	0.89510000000000001
sub-0005_task-thermalactive_run-4_eeg	sub-0005	combined	6	95	3	5.3700000000000001	-1.5700000000000001	-4.0800000000000001	0.17000000000000001	0.99746999999999997	0.054210000000000001	2	1	1	1	0.95520000000000005	0.9234
sub-0005_task-thermalactive_run-5_eeg	sub-0005	combined	6	125	5	3.0800000000000001	-0.59999999999999998	-6.0899999999999999	0.28999999999999998	0.99717999999999996	0.048120000000000003	2	1	1	1	0.91369999999999996	0.94510000000000005
sub-0005_task-thermalactive_run-6_eeg	sub-0005	combined	4	115	8	35.030000000000001	-2.3599999999999999	-4.8099999999999996	0	0.99709000000000003	0.047629999999999999	2	1	1	1	0.93630000000000002	0.88190000000000002
sub-0006_task-thermalactive_run-1_eeg	sub-0006	combined	4	44	7	8.8000000000000007	0.40999999999999998	-7.9299999999999997	-6.4000000000000004	0.97675999999999996	0.18429999999999999	1	0.67820000000000003	0.76070000000000004	0.746	0.73460000000000003	0.69940000000000002
sub-0006_task-thermalactive_run-2_eeg	sub-0006	combined	0	42	16	41.340000000000003	0.13	-7.5499999999999998	-6.1299999999999999	0.96965000000000001	0.22394	2	0.67820000000000003	0.76070000000000004	0.746	0.73460000000000003	0.73099999999999998
sub-0006_task-thermalactive_run-3_eeg	sub-0006	combined	13	144	5	3.7400000000000002	-1.0600000000000001	-10.380000000000001	-0.54000000000000004	0.99668999999999996	0.072309999999999999	1	1	1	1	0.98170000000000002	0.88900000000000001
sub-0006_task-thermalactive_run-4_eeg	sub-0006	combined	9	135	0	2	-3.6099999999999999	-7.1299999999999999	-0.58999999999999997	0.99753000000000003	0.055370000000000003	1	1	1	1	0.98170000000000002	0.90559999999999996
