recording	participant	arm	n_targets	n_scanner_harmonics	fir_rounds	n_fir_stopbands	peaks_above_2dB	peaks_above_null_p99	null_p99_db	null_frac_over_2db	comb_db	damage_half_hz	unavail_hz_total	unavail_hz_fir_only	correlation	change_rms	delta_kept	delta_kept_fir_only	theta_kept	theta_kept_fir_only	alpha_kept	alpha_kept_fir_only	beta_kept	beta_kept_fir_only	gamma_kept	gamma_kept_fir_only
sub-0013_task-thermalactive_run-1_eeg	sub-0013	derived_shipped	60	3	1	7	5	5	1.69	0.0	0.45	0.2	15.23	2.25	0.99834	0.04512	1.0	1.0	1.0	1.0	1.0	1.0	0.9397	0.9794	0.8592	0.9689
sub-0012_task-thermalactive_run-3_eeg	sub-0012	derived_shipped	119	3	2	8	16	13	2.9	0.1225	0.01	0.2	25.61	4.65	0.99454	0.08131	1.0	1.0	1.0	1.0	1.0	1.0	0.9691	0.9853	0.7228	0.9639
sub-0012_task-thermalactive_run-5_eeg	sub-0012	derived_shipped	115	2	1	6	10	10	2.55	0.0918	-0.11	0.2	25.23	2.2	0.99226	0.08795	1.0	1.0	1.0	1.0	1.0	1.0	0.9706	1.0	0.7113	0.9699
sub-0012_task-thermalactive_run-6_eeg	sub-0012	derived_shipped	119	2	1	7	12	8	2.88	0.1684	-1.14	0.2	25.11	2.35	0.99416	0.07315	1.0	1.0	1.0	1.0	1.0	1.0	0.9647	1.0	0.7133	0.9599
sub-0012_task-thermalactive_run-4_eeg	sub-0012	derived_shipped	123	2	2	8	19	12	3.3	0.1359	-0.46	0.2	26.28	4.55	0.99363	0.0808	1.0	1.0	1.0	1.0	1.0	1.0	0.9647	1.0	0.7108	0.9649
sub-0013_task-thermalactive_run-2_eeg	sub-0013	derived_shipped	68	1	2	5	10	11	1.73	0.0025	0.37	0.2	17.68	3.7	0.9994	0.02821	1.0	1.0	1.0	1.0	1.0	1.0	0.9529	1.0	0.8592	0.982
sub-0013_task-thermalactive_run-3_eeg	sub-0013	derived_shipped	79	2	2	9	8	16	1.43	0.0026	0.36	0.2	18.69	3.9	0.99887	0.0394	1.0	1.0	1.0	1.0	1.0	1.0	0.9412	1.0	0.8532	0.9669
sub-0013_task-thermalactive_run-4_eeg	sub-0013	derived_shipped	86	2	2	8	5	14	1.28	0.0026	0.08	0.2	19.75	2.6	0.99876	0.04012	1.0	1.0	1.0	1.0	1.0	1.0	0.9471	1.0	0.8312	0.9689
sub-0013_task-thermalactive_run-6_eeg	sub-0013	derived_shipped	80	3	1	6	10	1	9.14	0.0699	0.39	0.2	20.1	4.4	0.99747	0.05395	1.0	1.0	1.0	1.0	1.0	1.0	0.8441	0.8676	0.7745	0.9659
sub-0013_task-thermalactive_run-5_eeg	sub-0013	derived_shipped	77	1	2	9	4	8	1.74	0.0102	0.26	0.2	19.03	3.98	0.99836	0.04142	1.0	1.0	1.0	1.0	1.0	1.0	0.9765	1.0	0.7725	0.9413
sub-0014_task-thermalactive_run-1_eeg	sub-0014	derived_shipped	101	1	3	11	11	11	2.11	0.0269	0.11	0.2	21.98	3.25	0.99842	0.04357	1.0	1.0	1.0	1.0	1.0	1.0	0.9647	1.0	0.7619	0.9489
sub-0014_task-thermalactive_run-2_eeg	sub-0014	derived_shipped	103	2	2	11	11	15	1.49	0.0	-0.06	0.2	23.18	3.5	0.99771	0.0486	1.0	1.0	1.0	1.0	1.0	1.0	0.9647	1.0	0.7388	0.9489
sub-0014_task-thermalactive_run-4_eeg	sub-0014	derived_shipped	110	2	1	4	4	10	1.3	0.0	-0.11	0.2	22.98	1.9	0.99858	0.04058	1.0	1.0	1.0	1.0	1.0	1.0	0.9647	1.0	0.7438	0.9729
sub-0014_task-thermalactive_run-3_eeg	sub-0014	derived_shipped	101	1	2	12	4	4	1.88	0.0089	-0.1	0.2	22.36	3.85	0.99821	0.04302	1.0	1.0	1.0	1.0	1.0	1.0	0.9647	1.0	0.7503	0.9449
sub-0014_task-thermalactive_run-5_eeg	sub-0014	derived_shipped	96	2	2	5	5	9	1.42	0.0	0.19	0.2	20.88	2.0	0.99835	0.03937	1.0	1.0	1.0	1.0	1.0	1.0	0.9647	1.0	0.7699	0.982
sub-0014_task-thermalactive_run-6_eeg	sub-0014	derived_shipped	93	2	1	5	3	12	1.18	0.0	0.25	0.2	21.03	1.95	0.99794	0.04072	1.0	1.0	1.0	1.0	1.0	1.0	0.9647	1.0	0.7689	0.9719
sub-0015_task-thermalactive_run-1_eeg	sub-0015	derived_shipped	109	0	2	10	9	6	3.01	0.0315	-0.03	0.2	25.0	5.25	0.99937	0.03273	1.0	1.0	1.0	1.0	1.0	1.0	0.9118	0.9853	0.7525	0.9629
sub-0015_task-thermalactive_run-3_eeg	sub-0015	derived_shipped	116	0	3	16	10	2	7.88	0.0425	-0.11	0.2	26.63	6.48	0.9929	0.05409	1.0	1.0	1.0	1.0	1.0	1.0	0.8632	0.9529	0.7255	0.9303
sub-0015_task-thermalactive_run-2_eeg	sub-0015	derived_shipped	104	1	3	10	18	7	3.51	0.0525	0.48	0.2	24.83	3.1	0.99383	0.05848	1.0	1.0	1.0	1.0	1.0	1.0	0.875	0.9853	0.7415	0.9519
sub-0015_task-thermalactive_run-4_eeg	sub-0015	derived_shipped	105	1	3	12	17	7	4.48	0.0855	-0.04	0.2	23.75	3.93	0.9968	0.04143	1.0	1.0	1.0	1.0	1.0	1.0	0.8809	0.9735	0.7575	0.9483
sub-0015_task-thermalactive_run-5_eeg	sub-0015	derived_shipped	116	0	2	17	23	11	4.24	0.0954	0.18	0.2	27.54	7.86	0.99425	0.04372	1.0	1.0	1.0	1.0	1.0	1.0	0.8515	0.9353	0.7322	0.9436
sub-0015_task-thermalactive_run-6_eeg	sub-0015	derived_shipped	114	1	2	11	8	2	6.76	0.0879	-0.12	0.2	26.81	3.75	0.99304	0.04052	1.0	1.0	1.0	1.0	1.0	1.0	0.8809	0.9618	0.7143	0.9519
